id,display_name,normalized_name,level,wikidata,parents,parent_ids
https://openalex.org/c77805123,Social psychology,social psychology,1,https://www.wikidata.org/wiki/Q161272,Psychology,https://openalex.org/C15744967
https://openalex.org/c99454951,Environmental health,environmental health,1,https://www.wikidata.org/wiki/Q932068,Medicine,https://openalex.org/C71924100
https://openalex.org/c545542383,Medical emergency,medical emergency,1,https://www.wikidata.org/wiki/Q2751242,Medicine,https://openalex.org/C71924100
https://openalex.org/c21880701,Process engineering,process engineering,1,https://www.wikidata.org/wiki/Q2144042,Engineering,https://openalex.org/C127413603
https://openalex.org/c26873012,Condensed matter physics,condensed matter physics,1,https://www.wikidata.org/wiki/Q214781,Physics,https://openalex.org/C121332964
https://openalex.org/c75473681,Photochemistry,photochemistry,1,https://www.wikidata.org/wiki/Q188651,Chemistry,https://openalex.org/C185592680
https://openalex.org/c107038049,Aesthetics,aesthetics,1,https://www.wikidata.org/wiki/Q35986,"Art, Philosophy","https://openalex.org/C142362112, https://openalex.org/C138885662"
https://openalex.org/c111368507,Oceanography,oceanography,1,https://www.wikidata.org/wiki/Q43518,Geology,https://openalex.org/C127313418
https://openalex.org/c126894567,Urology,urology,1,https://www.wikidata.org/wiki/Q105650,Medicine,https://openalex.org/C71924100
https://openalex.org/c142724271,Pathology,pathology,1,https://www.wikidata.org/wiki/Q7208,Medicine,https://openalex.org/C71924100
https://openalex.org/c155202549,International trade,international trade,1,https://www.wikidata.org/wiki/Q178803,"Business, Economics","https://openalex.org/C144133560, https://openalex.org/C162324750"
https://openalex.org/c186060115,Biological system,biological system,1,https://www.wikidata.org/wiki/Q30336093,Biology,https://openalex.org/C86803240
https://openalex.org/c187320778,Geotechnical engineering,geotechnical engineering,1,https://www.wikidata.org/wiki/Q1349130,"Engineering, Geology","https://openalex.org/C127413603, https://openalex.org/C127313418"
https://openalex.org/c203014093,Immunology,immunology,1,https://www.wikidata.org/wiki/Q101929,"Biology, Medicine","https://openalex.org/C86803240, https://openalex.org/C71924100"
https://openalex.org/c28826006,Applied mathematics,applied mathematics,1,https://www.wikidata.org/wiki/Q33521,Mathematics,https://openalex.org/C33923547
https://openalex.org/c95124753,Environmental ethics,environmental ethics,1,https://www.wikidata.org/wiki/Q875686,Philosophy,https://openalex.org/C138885662
https://openalex.org/c114614502,Combinatorics,combinatorics,1,https://www.wikidata.org/wiki/Q76592,Mathematics,https://openalex.org/C33923547
https://openalex.org/c119599485,Electrical engineering,electrical engineering,1,https://www.wikidata.org/wiki/Q43035,Engineering,https://openalex.org/C127413603
https://openalex.org/c134306372,Mathematical analysis,mathematical analysis,1,https://www.wikidata.org/wiki/Q7754,Mathematics,https://openalex.org/C33923547
https://openalex.org/c134560507,Environmental economics,environmental economics,1,https://www.wikidata.org/wiki/Q753291,Economics,https://openalex.org/C162324750
https://openalex.org/c143998085,Oncology,oncology,1,https://www.wikidata.org/wiki/Q162555,Medicine,https://openalex.org/C71924100
https://openalex.org/c159047783,Virology,virology,1,https://www.wikidata.org/wiki/Q7215,"Biology, Medicine","https://openalex.org/C86803240, https://openalex.org/C71924100"
https://openalex.org/c1965285,Earth science,earth science,1,https://www.wikidata.org/wiki/Q8008,Geology,https://openalex.org/C127313418
https://openalex.org/c17409809,Geochemistry,geochemistry,1,https://www.wikidata.org/wiki/Q161764,Geology,https://openalex.org/C127313418
https://openalex.org/c52119013,Art history,art history,1,https://www.wikidata.org/wiki/Q50637,"Art, History","https://openalex.org/C142362112, https://openalex.org/C95457728"
https://openalex.org/c54750564,Commerce,commerce,1,https://www.wikidata.org/wiki/Q26643,"Business, Economics","https://openalex.org/C144133560, https://openalex.org/C162324750"
https://openalex.org/c91375879,Environmental planning,environmental planning,1,https://www.wikidata.org/wiki/Q15473274,"Environmental science, Geography","https://openalex.org/C39432304, https://openalex.org/C205649164"
https://openalex.org/c107872376,Environmental chemistry,environmental chemistry,1,https://www.wikidata.org/wiki/Q321355,Chemistry,https://openalex.org/C185592680
https://openalex.org/c109214941,Particle physics,particle physics,1,https://www.wikidata.org/wiki/Q18334,Physics,https://openalex.org/C121332964
https://openalex.org/c146978453,Aerospace engineering,aerospace engineering,1,https://www.wikidata.org/wiki/Q3798668,Engineering,https://openalex.org/C127413603
https://openalex.org/c153911025,Molecular biology,molecular biology,1,https://www.wikidata.org/wiki/Q7202,Biology,https://openalex.org/C86803240
https://openalex.org/c183696295,Biochemical engineering,biochemical engineering,1,https://www.wikidata.org/wiki/Q2487696,Engineering,https://openalex.org/C127413603
